"funding_agency_2cd","award_amount"
"Smaller Legislative Agencies",8823.52
"Overseas Private Investment Corporation",10786
"Library of Congress",17679
"Export-Import Bank of the U.S.",49715
"United States Soldiers and Airmens Home",56762
"Farm Credit Administration",87366
"Other Small Agencies",108779
"Federal Maritime Commission",783427.48
"Executive Office of the President",2447537
"Federal Mediation and Conciliation Service",5457856
"Government Accountability Office",13186086.8
"Smithsonian Institution",22098656.03
"The Legislative Branch",23747554.63
"Social Security Administration",31021200.59
"U.S. Agency for International Development",33116756.17
"Federal Retirement Thrift Investment Board",34250047
"Small Business Administration",47958264.59
"National Foundation on the Arts and the Humanities",50468300
"Federal Communications Commission",76799097.54
"Department of the Treasury",102802887.81
"Other Independent Agencies",134617051.11
"Department of Defense (except military departments)",360715143.91
"Department of State",368133019.75
"Department of Veterans Affairs",760442324.18
"National Aeronautics and Space Administration",909907869.31
"Department of the Navy",1020304507.43
"Department of the Air Force",1414632658.37
"Department of Homeland Security",1636847438.12
"Department of the Interior",1700061521.82
"Department of Commerce",2210543281.54
"Department of the Army",2240530742.74
"National Science Foundation",2734451870
"Corps of Engineers",3513610758.29
"General Services Administration",4123146647.04
"Department of Justice",4194990286.88
"Department of Agriculture",4506894297.86
"Department of Labor",4545214103.67
"Environmental Protection Agency",7194664598.69
"Department of Housing and Urban Development",11441161739.79
"Department of Health and Human Services",15737192880.5
"Department of Energy",28475564284.43
"Department of Transportation",39297697335.53
"Department of Education",66232767648.33
