Day,Len,State,EV,Obama,McCain,Ind,Date,Pollster
310.0,1,Alabama,9,38.7,60.5,,Nov 05,100%
310.0,1,Alaska,3,36.2,61.5,,Nov 05,99%
310.0,1,Arizona,10,45.1,53.7,,Nov 05,99%
310.0,1,Arkansas,6,38.8,58.7,,Nov 05,95%
310.0,1,California,55,61.2,36.9,,Nov 05,95%
310.0,1,Colorado,9,52.5,45.9,,Nov 05,87%
310.0,1,Connecticut,7,60.2,38.7,,Nov 05,98%
310.0,1,D.C.,3,92.9,6.5,,Nov 05,100%
310.0,1,Delaware,3,61.3,37.6,,Nov 05,100%
310.0,1,Florida,27,50.8,48.4,,Nov 05,99%
310.0,1,Georgia,15,46.9,52.3,,Nov 05,99%
310.0,1,Hawaii,4,71.8,26.6,,Nov 05,100%
310.0,1,Idaho,4,36.0,61.6,,Nov 05,99%
310.0,1,Illinois,21,61.0,37.7,,Nov 05,97%
310.0,1,Indiana,11,49.9,49.0,,Nov 05,100%
310.0,1,Iowa,7,54.0,44.7,,Nov 05,100%
310.0,1,Kansas,6,42,57,,Nov 05,98%
310.0,1,Kentucky,8,41.1,57.5,,Nov 05,100%
310.0,1,Louisiana,9,39.9,58.6,,Nov 05,100%
310.0,1,Maine,4,57.9,40.3,,Nov 05,99%
310.0,1,Maryland,10,61.0,37.7,,Nov 05,99%
310.0,1,Massachusetts,12,62.0,36.3,,Nov 05,100%
310.0,1,Michigan,17,57.3,41.1,,Nov 05,100%
310.0,1,Minnesota,10,54.2,44.0,,Nov 05,100%
310.0,1,Mississippi,6,42.7,56.5,,Nov 05,100%
310.0,1,Missouri,11,49.3,49.5,,Nov 05,100%
310.0,1,Montana,3,46.7,50.1,,Nov 05,99%
310.0,1,Nebraska,5,41.2,57.3,,Nov 05,100%
310.0,1,Nevada,5,55.1,42.7,,Nov 05,100%
310.0,1,New Hampshire,4,54.8,44.4,,Nov 05,87%
310.0,1,New Jersey,15,56.7,42.2,,Nov 05,99%
310.0,1,New Mexico,5,56.7,41.9,,Nov 05,100%
310.0,1,New York,31,62.1,36.7,,Nov 05,99%
310.0,1,North Carolina,15,49.8,49.6,,Nov 05,100%
310.0,1,North Dakota,3,44.7,53.3,,Nov 05,100%
310.0,1,Ohio,20,51.3,47.1,,Nov 05,97%
310.0,1,Oklahoma,7,34.4,65.6,,Nov 05,100%
310.0,1,Oregon,7,55.1,42.9,,Nov 05,65%
310.0,1,Pennsylvania,21,54.6,44.3,,Nov 05,100%
310.0,1,Rhode Island,4,63.3,35.0,,Nov 05,98%
310.0,1,South Carolina,8,44.7,54.1,,Nov 05,94%
310.0,1,South Dakota,3,44.7,53.2,,Nov 05,100%
310.0,1,Tennessee,11,41.6,57.2,,Nov 05,98%
310.0,1,Texas,34,44,55,,Nov 05,97%
310.0,1,Utah,5,34.2,62.9,,Nov 05,100%
310.0,1,Vermont,3,67.0,31.3,,Nov 05,89%
310.0,1,Virginia,13,51.8,47.3,,Nov 05,100%
310.0,1,Washington,11,57.5,40.9,,Nov 05,56%
310.0,1,West Virginia,5,42.6,55.7,,Nov 05,100%
310.0,1,Wisconsin,10,55.9,42.8,,Nov 05,100%
310.0,1,Wyoming,3,32.7,65.2,,Nov 05,100%
