Artist,Type,LVar,LAve,LMax,LFVar,LFEner,RVar,RAve,RMax,RFVar,RFEner
Dancing Queen,Abba,Rock, 17600755.6,-90.0068667,29921,0.017385183,105.92095, 17491650.0, -4.54110806,30078,0.017145508,105.86802
Knowing Me,Abba,Rock,  9543020.9,-75.7667187,27626,0.011036660,102.83616, 12550802.7,  4.93586584,29379,0.012871187,104.08207
Take a Chance,Abba,Rock,  9049481.5,-98.0629244,26372,0.008519693,102.32488,  8875210.7,-15.48591199,27429,0.008895451,102.33716
Mamma Mia,Abba,Rock,  7557437.3,-90.4710616,28898,0.007967947,101.61648,  8831367.5,-10.68653456,28218,0.009790903,102.75463
Lay All You,Abba,Rock,  6282285.6,-88.9526309,27940,0.006870829,100.30076,  5864194.3,-11.08332759,29857,0.005819744, 98.98053
Super Trouper,Abba,Rock,  4665866.7,-69.0208450,25531,0.006305017,100.24848,  5126142.0, -0.21011231,25540,0.006449263,100.22900
I Have A Dream,Abba,Rock,  3369670.3,-71.6828788,14699,0.013797045,104.59686,  3062958.0,  3.35019206,13554,0.014822777,104.82927
The Winner,Abba,Rock,  1135862.0,-67.8190467, 8928,0.012575808,104.34921,  1168935.3, -3.85137929, 8728,0.013632829,104.66310
Money,Abba,Rock,  6146942.6,-76.2807500,22962,0.010061494,102.24066,  6399369.0, -7.79319762,23337,0.008232079,101.46755
SOS,Abba,Rock,  3482881.8,-74.1300038,15517,0.012743178,104.36243,  4381573.1,  1.78676185,16298,0.014600143,104.95359
V1,Vivaldi,Classical,  3677296.2, 66.6530970,24229,0.005559831, 99.25243,  2361239.0, 68.56363147,18062,0.006150848, 99.87316
V2,Vivaldi,Classical,   771491.8, 21.6560941, 6936,0.014268656,104.36737,   731582.9, 25.95790376, 5429,0.012775586,103.84154
V3,Vivaldi,Classical,  5227573.2, 88.6465556,17721,0.014776999,104.61255,  3699159.1, 95.74714417,16759,0.011701146,103.59418
V4,Vivaldi,Classical,   334719.1, 13.8318847, 4123,0.015781971,104.35005,   316425.6, 14.26590343, 3950,0.018092322,104.88191
V5,Vivaldi,Classical,   836904.9, 34.5677377,17306,0.001419471, 88.82821,   689433.4, 38.76799036,15357,0.002611121, 92.34689
V6,Vivaldi,Classical, 13936436.7,216.2317586,30355,0.013515689,104.82354, 13338819.0,236.54094570,25585,0.018249879,106.11505
V7,Vivaldi,Classical,  3636324.3,  9.8366363,21450,0.007027882,100.52727,  3564266.5, 13.47248552,20279,0.007708753,101.14980
V8,Vivaldi,Classical,   295397.4,  2.8143227, 2985,0.029020586,108.28717,   337310.6,  3.94321821, 3263,0.028071856,108.11334
V9,Vivaldi,Classical,  4335879.0, 10.9015767,22271,0.007773697,101.32881,  4989511.7, 16.56481009,17963,0.011322147,103.02765
V10,Vivaldi,Classical,   472630.0,  3.8890862, 8194,0.006232829, 98.83731,   645225.1,  5.24163254,10444,0.004858173, 96.79832
M1,Mozart,Classical,  2819795.0, -5.8667602,14939,0.011177703,102.25358,  4011818.9,-14.19633944,16837,0.012514005,102.16874
M2,Mozart,Classical,  2836957.9, -5.6074580,13382,0.010497614,102.04646,  3042884.7,-15.23354203,14736,0.012388801,102.85783
M3,Mozart,Classical,  9089372.1, -5.9719205,25265,0.012544832,102.23796, 13704714.3,-15.12133225,26930,0.016642798,103.29513
M4,Mozart,Classical,  4056229.7, -6.2272904,21328,0.005004076, 97.59887,  4593846.7,-14.91578502,18107,0.012026156,101.03276
M5,Mozart,Classical,  1568925.6, -6.1993790,15839,0.005133196, 99.47580,  1600340.8,-14.37208458,12339,0.005692307, 99.90683
M6,Mozart,Classical,  7758409.1, -5.7700183,22496,0.010741567,101.66942,  6696395.6,-15.15600753,20924,0.013555697,102.80947
All in a Days Work,Eels,Rock, 40275677.4,-10.6893416,32759,0.033203821,106.07617, 44629747.2, -0.28909429,32759,0.036805045,107.83863
Saturday Morning,Eels,Rock,129472199.3, 50.2115773,32759,0.107069741,114.00229,105680695.8, 40.96191041,32759,0.087419488,112.08591
The Good Old Days,Eels,Rock, 18838849.0, -0.0222764,30386,0.018057392,105.45611, 11611216.0,  0.05202263,25955,0.012868009,103.25705
Love of the Loveless,Eels,Rock, 43201194.3,  1.8926897,32759,0.035625210,108.37835, 37287974.6,  2.54260291,32758,0.030748353,107.34306
Girl,Eels,Rock, 88547131.0,  0.3358761,32744,0.073404477,112.00916, 85924934.0,  5.27494850,32744,0.071219968,111.64523
Agony,Eels,Rock, 16285811.4, -0.1405876,30106,0.015936182,103.94171,  7824925.3, -0.12672204,26469,0.008438542,101.19420
Rock Hard Times,Eels,Rock, 54651552.8,  1.9848514,32759,0.045261704,108.87503, 30388287.8,  0.09079131,32759,0.025168778,105.76684
Restraining,Eels,Rock, 12322434.4,  1.0259790,23221,0.012723478,103.29906,  9449287.0,  0.43506735,23239,0.013061576,102.94069
Lone Wolf,Eels,Rock, 63878899.8,  3.3592505,32759,0.052787931,109.53291, 74446832.8,  3.73600538,32759,0.061520300,111.24605
Wrong About Bobby,Eels,Rock, 43668186.9, -2.0125667,32759,0.036087785,108.35559, 33429210.2, -1.63609731,32759,0.027626519,107.04477
