Name,Country,Matches,Serve.Speed,Sets,Tie.Brks,Games,Winners,Return.Games,Server.Pts,Points,First.Serves,First.Serve.Pct,Aces,Double.Faults,First.Serve.Points,First.Serve.Pts.Pct,Second.Serve.Pts
Roger Federer, SUI, 7,130,3,0.33,28,41,6.3,56,103,49,59,8,1.2,37,76,58
Andy Roddick, USA, 6,143,3.7,0.83,36,37,3.7,71,108,69,65,12,1.8,54,76,48
Tommy Haas, GER, 6,128,3.6,0.6,34,45,5,70,117,67,66,13,3.4,52,78,51
Nikolay Davydenko, RUS, 5, 129,3.6,0.4,33,43,5.8,69,114,67,62,7.6,3,48,73,53
Fernando Gonzalez, CHL, 7,136,3.8,1,39,53,5,79,124,73,64,15,1.8,56,76,56
Rafael Nadal, ESP, 5,132,3.6,0.4,34,31,4.8,68,116,71,66,3.6,2.8,51,73,46
Tommy Robredo, ESP, 5,130,3.4,0.4,32,36,5.2,64,106,62,63,9,2,46,74,50
Mardy Fish, USA, 5,137,3.2,0.4,30,38,2.6,60,90,47,53,12,2.8,37,81,56
Florian Meyer, GER, 3,127,4,0.33,38,33,6,73,120,70,56,10,2.3,46,65,48
Richard Gasquet, FRA, 4,127,3.5,0,32,34,5,66,106,73,69,4,2,51,72,51
Dmitry Tursunov, RUS, 3,131,3.3,0.33,31,39,2.7,61,95,50,49,13,6,38,73,44
Lleyton Hewitt, AUS, 3,129,4.3,0,40,45,4.7,77,119,64,49,16,7.3,50,78,40
Stanislas Wawrinka, SUI, 3,126,3.3,0,28,36,4.3,57,88,59,60,13,2.7,41,69,41
Sebastien Grosjean, FRA, 3,127,4,0.33,37,52,5.7,73,130,59,47,14,1.3,46,84,53
Fabrice Santoro, FRA, 3,133,3,0.67,28,35,4,57,94,43,48,9.3,2.7,33,76,51
Robby Ginepri, USA, 3,131,3.7,0.33,37,42,4.3,77,124,74,61,10,1.7,54,72,50
Juan Ignacio Chela, ARG, 3,128,3.3,0.33,32,32,4,62,102,61,59,3.7,2.3,41,66,49
Mikhail Youzhny, RUS, 3,132,3,0.67,30,34,5,59,104,49,49,6.3,3,37,76,43
Marat Safin, RUS, 3,135,4.7,1.3,49,49,6,97,149,97,62,18,3.3,70,72,47
Danai Udomchoke, THA, 3,126,3.7,0.33,35,34,5.7,74,127,70,53,3.7,7.7,49,70,38
Gael Monfils, FRA, 3,137,4,1.3,40,39,3.7,81,126,70,56,15,2.7,51,72,55
Wayne Arthurs, AUS, 3,129,3.3,1,31,38,4,61,94,56,51,15,6.3,42,58,33
Dominik Hrbaty, SLO, 3,128,3.7,0.67,36,38,5.3,65,122,61,52,4.3,5,42,64,42
Radek Stepanek, CZE, 3,127,4.3,0.33,40,51,6,82,132,83,63,13,3.3,60,76,49
Sam Querrey, USA, 3,136,3.7,0.67,35,47,3.3,68,109,59,56,15,3,48,80,47
